Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            | -11068.10    | -25755.00    | 57.03        | 300          | HxSolutionStatus.FEASIBLE      | 877.00       | -25755.00    | inf          | 300          | HxSolutionStatus.INFEASIBLE    | -13019.00    | -25755.00    | 49.45        | 300          | HxSolutionStatus.FEASIBLE      | 2245.00      | -25755.00    | inf          | 300          | HxSolutionStatus.INFEASIBLE    | -13019.00    | -22577.22    | 42.34        | 300          | HxSolutionStatus.FEASIBLE     
2            | -7818.00     | -23598.00    | 66.87        | 300          | HxSolutionStatus.FEASIBLE      | -7567.83     | -26490.00    | 71.43        | 300          | HxSolutionStatus.FEASIBLE      | -7850.00     | -26490.00    | 70.37        | 300          | HxSolutionStatus.FEASIBLE      | -4114.09     | -23598.00    | 82.57        | 300          | HxSolutionStatus.FEASIBLE      | -7850.00     | -23312.22    | 66.33        | 300          | HxSolutionStatus.FEASIBLE     
3            | -6371.00     | -20739.00    | 69.28        | 300          | HxSolutionStatus.FEASIBLE      | -6344.00     | -26655.00    | 76.20        | 300          | HxSolutionStatus.FEASIBLE      | -6371.00     | -26655.00    | 76.10        | 300          | HxSolutionStatus.FEASIBLE      | -6191.00     | -19213.94    | 67.78        | 300          | HxSolutionStatus.FEASIBLE      | -6371.00     | -19213.94    | 66.84        | 300          | HxSolutionStatus.FEASIBLE     
4            | -4763.00     | -19539.00    | 75.62        | 300          | HxSolutionStatus.FEASIBLE      | -4763.00     | -27015.00    | 82.37        | 300          | HxSolutionStatus.FEASIBLE      | -4763.00     | -27015.00    | 82.37        | 300          | HxSolutionStatus.FEASIBLE      | -4763.00     | -4763.00     | 0.00         | 246          | HxSolutionStatus.OPTIMAL       | -4763.00     | -14002.51    | 65.98        | 300          | HxSolutionStatus.FEASIBLE     
5            | -4211.00     | -17531.00    | 75.98        | 300          | HxSolutionStatus.FEASIBLE      | -4211.00     | -27075.00    | 84.45        | 300          | HxSolutionStatus.FEASIBLE      | -4211.00     | -23291.03    | 81.92        | 300          | HxSolutionStatus.FEASIBLE      | -4119.00     | -4211.00     | 2.18         | 300          | HxSolutionStatus.FEASIBLE      | -4211.00     | -10786.67    | 60.96        | 300          | HxSolutionStatus.FEASIBLE     
6            | -3499.00     | -14187.00    | 75.34        | 300          | HxSolutionStatus.FEASIBLE      | -3499.00     | -7593.58     | 53.92        | 300          | HxSolutionStatus.FEASIBLE      | -3499.00     | -17097.52    | 79.54        | 300          | HxSolutionStatus.FEASIBLE      | -3499.00     | -3499.00     | 0.00         | 25           | HxSolutionStatus.OPTIMAL       | -3499.00     | -8717.97     | 59.86        | 300          | HxSolutionStatus.FEASIBLE     
7            | -2937.50     | -11664.00    | 74.82        | 300          | HxSolutionStatus.FEASIBLE      | -2934.26     | -3372.00     | 12.98        | 300          | HxSolutionStatus.FEASIBLE      | -2933.41     | -10041.84    | 70.79        | 300          | HxSolutionStatus.FEASIBLE      | -2937.50     | -2937.50     | 0.00         | 94           | HxSolutionStatus.OPTIMAL       | -2937.50     | -4819.57     | 39.05        | 300          | HxSolutionStatus.FEASIBLE     
8            | -2587.00     | -2587.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -2587.00     | -3235.00     | 20.03        | 300          | HxSolutionStatus.FEASIBLE      | -2587.00     | -7763.62     | 66.68        | 300          | HxSolutionStatus.FEASIBLE      | -2587.00     | -2587.00     | 0.00         | 34           | HxSolutionStatus.OPTIMAL       | -2587.00     | -2668.52     | 3.05         | 300          | HxSolutionStatus.FEASIBLE     
9            | -2218.00     | -2218.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -2214.79     | -2518.00     | 12.04        | 300          | HxSolutionStatus.FEASIBLE      | -2218.00     | -4036.72     | 45.05        | 300          | HxSolutionStatus.FEASIBLE      | -2218.00     | -2218.00     | 0.00         | 8            | HxSolutionStatus.OPTIMAL       | -2218.00     | -2283.66     | 2.88         | 300          | HxSolutionStatus.FEASIBLE     
10           | -2002.00     | -2002.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -2002.00     | -2470.00     | 18.95        | 300          | HxSolutionStatus.FEASIBLE      | -2002.00     | -2937.80     | 31.85        | 300          | HxSolutionStatus.FEASIBLE      | -2002.00     | -2002.00     | 0.00         | 12           | HxSolutionStatus.OPTIMAL       | -2002.00     | -2002.00     | 0.00         | 86           | HxSolutionStatus.OPTIMAL      
12           | -1635.00     | -1635.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 263          | HxSolutionStatus.OPTIMAL       | -1635.00     | -1700.00     | 3.82         | 300          | HxSolutionStatus.FEASIBLE      | -1635.00     | -1635.00     | 0.00         | 2            | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 91           | HxSolutionStatus.OPTIMAL      
13           | -1449.00     | -1449.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 64           | HxSolutionStatus.OPTIMAL       | -1449.00     | -1705.00     | 15.01        | 300          | HxSolutionStatus.FEASIBLE      | -1449.00     | -1449.00     | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 32           | HxSolutionStatus.OPTIMAL      
15           | -1254.00     | -1254.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 20           | HxSolutionStatus.OPTIMAL       | -1254.00     | -1262.00     | 0.63         | 300          | HxSolutionStatus.FEASIBLE      | -1254.00     | -1254.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 15           | HxSolutionStatus.OPTIMAL      
