Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            | -12476.00    | -25760.00    | 51.57        | 3600         | HxSolutionStatus.FEASIBLE      | -5320.08     | -25760.00    | inf          | 3600         | HxSolutionStatus.INFEASIBLE    | -12736.00    | -25760.00    | 50.56        | 3600         | HxSolutionStatus.FEASIBLE      | 2240.00      | -25760.00    | inf          | 3600         | HxSolutionStatus.INFEASIBLE    | -12736.00    | -22582.22    | 43.60        | 3600         | HxSolutionStatus.FEASIBLE     
2            | -7697.00     | -23613.00    | 67.40        | 3600         | HxSolutionStatus.FEASIBLE      | 55.00        | -26505.00    | inf          | 3600         | HxSolutionStatus.INFEASIBLE    | -7697.00     | -26505.00    | 70.96        | 3600         | HxSolutionStatus.FEASIBLE      | -2343.45     | -23613.00    | inf          | 3600         | HxSolutionStatus.INFEASIBLE    | -7697.00     | -23327.22    | 67.00        | 3600         | HxSolutionStatus.FEASIBLE     
3            | -6569.00     | -20644.00    | 68.18        | 3600         | HxSolutionStatus.FEASIBLE      | -6740.00     | -26560.00    | 74.62        | 3600         | HxSolutionStatus.FEASIBLE      | -6740.00     | -26560.00    | 74.62        | 3600         | HxSolutionStatus.FEASIBLE      | -6704.00     | -6740.00     | 0.53         | 3600         | HxSolutionStatus.FEASIBLE      | -6740.00     | -18719.07    | 63.99        | 3601         | HxSolutionStatus.FEASIBLE     
4            | -4656.00     | -19504.00    | 76.13        | 3600         | HxSolutionStatus.FEASIBLE      | -4600.69     | -5103.33     | 9.85         | 3600         | HxSolutionStatus.FEASIBLE      | -4822.00     | -26980.00    | 82.13        | 3600         | HxSolutionStatus.FEASIBLE      | -4822.00     | -4822.00     | 0.00         | 2867         | HxSolutionStatus.OPTIMAL       | -4822.00     | -13563.65    | 64.45        | 3600         | HxSolutionStatus.FEASIBLE     
5            | -4231.00     | -17571.00    | 75.92        | 3600         | HxSolutionStatus.FEASIBLE      | -4231.00     | -4923.00     | 14.06        | 3600         | HxSolutionStatus.FEASIBLE      | -4231.00     | -21406.89    | 80.24        | 3600         | HxSolutionStatus.FEASIBLE      | -4231.00     | -4231.00     | 0.00         | 65           | HxSolutionStatus.OPTIMAL       | -4231.00     | -10826.67    | 60.92        | 3600         | HxSolutionStatus.FEASIBLE     
6            | -3453.00     | -14177.00    | 75.64        | 3600         | HxSolutionStatus.FEASIBLE      | -3453.00     | -4109.00     | 15.96        | 3600         | HxSolutionStatus.FEASIBLE      | -3453.00     | -12201.35    | 71.70        | 3600         | HxSolutionStatus.FEASIBLE      | -3453.00     | -3453.00     | 0.00         | 36           | HxSolutionStatus.OPTIMAL       | -3453.00     | -3810.65     | 9.39         | 3600         | HxSolutionStatus.FEASIBLE     
7            | -2966.00     | -11694.00    | 74.64        | 3600         | HxSolutionStatus.FEASIBLE      | -2966.00     | -3330.00     | 10.93        | 3600         | HxSolutionStatus.FEASIBLE      | -2966.00     | -4064.07     | 27.02        | 3600         | HxSolutionStatus.FEASIBLE      | -2966.00     | -2966.00     | 0.00         | 47           | HxSolutionStatus.OPTIMAL       | -2966.00     | -2966.00     | 0.00         | 3085         | HxSolutionStatus.OPTIMAL      
8            | -2587.00     | -2587.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -2587.00     | -2587.00     | 0.00         | 266          | HxSolutionStatus.OPTIMAL       | -2587.00     | -3386.40     | 23.61        | 3600         | HxSolutionStatus.FEASIBLE      | -2587.00     | -2587.00     | 0.00         | 32           | HxSolutionStatus.OPTIMAL       | -2587.00     | -2587.00     | 0.00         | 1367         | HxSolutionStatus.OPTIMAL      
9            | -2218.00     | -2218.00     | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -2218.00     | -2218.00     | 0.00         | 723          | HxSolutionStatus.OPTIMAL       | -2218.00     | -2471.41     | 10.25        | 3600         | HxSolutionStatus.FEASIBLE      | -2218.00     | -2218.00     | 0.00         | 5            | HxSolutionStatus.OPTIMAL       | -2218.00     | -2218.00     | 0.00         | 652          | HxSolutionStatus.OPTIMAL      
10           | -2002.00     | -2002.00     | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -2002.00     | -2002.00     | 0.00         | 654          | HxSolutionStatus.OPTIMAL       | -2002.00     | -2002.00     | 0.00         | 1660         | HxSolutionStatus.OPTIMAL       | -2002.00     | -2002.00     | 0.00         | 8            | HxSolutionStatus.OPTIMAL       | -2002.00     | -2002.00     | 0.00         | 7            | HxSolutionStatus.OPTIMAL      
