Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            | -12950.00    | -28000.00    | 53.75        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -11541.00    | -28000.00    | 58.78        | 300          | HxSolutionStatus.FEASIBLE     
2            | -7685.00     | -25108.00    | 69.39        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -25108.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -25108.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
3            | -6164.00     | -22084.00    | 72.09        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -22054.02    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -4515.00     | -22084.00    | 79.56        | 300          | HxSolutionStatus.FEASIBLE     
4            | -4762.59     | -20524.00    | 76.80        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -20493.99    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -3235.00     | -20493.99    | 84.21        | 300          | HxSolutionStatus.FEASIBLE     
5            | -4201.00     | -18456.00    | 77.24        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -4192.50     | -18203.99    | 76.97        | 300          | HxSolutionStatus.FEASIBLE      | -3715.13     | -18203.99    | 79.59        | 300          | HxSolutionStatus.FEASIBLE     
6            | -3458.50     | -14952.00    | 76.87        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -23963.99    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -3381.00     | -14700.01    | 77.00        | 300          | HxSolutionStatus.FEASIBLE      | -2549.00     | -14700.01    | 82.66        | 300          | HxSolutionStatus.FEASIBLE     
7            | -2915.00     | -12324.00    | 76.35        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -17304.03    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -2745.88     | -12072.01    | 77.25        | 300          | HxSolutionStatus.FEASIBLE      | -1678.00     | -12072.01    | 86.10        | 300          | HxSolutionStatus.FEASIBLE     
8            | -2587.00     | -2611.89     | 0.95         | 300          | HxSolutionStatus.FEASIBLE      | -933.63      | -12629.24    | 92.61        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -13464.01    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -2500.00     | -5944.88     | 57.95        | 300          | HxSolutionStatus.FEASIBLE      | -2086.29     | -10320.00    | 79.78        | 300          | HxSolutionStatus.FEASIBLE     
9            | -2218.00     | -2218.00     | 0.00         | 62           | HxSolutionStatus.OPTIMAL       | -1108.00     | -10770.96    | 89.71        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -10103.99    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -2172.00     | -4732.46     | 54.10        | 300          | HxSolutionStatus.FEASIBLE      | -989.00      | -8567.99     | 88.46        | 300          | HxSolutionStatus.FEASIBLE     
10           | -2002.00     | -2025.73     | 1.17         | 300          | HxSolutionStatus.FEASIBLE      | -1086.87     | -9983.37     | 89.11        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -8603.99     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1979.00     | -4244.75     | 53.38        | 300          | HxSolutionStatus.FEASIBLE      | -1424.00     | -7691.99     | 81.49        | 300          | HxSolutionStatus.FEASIBLE     
12           | -1635.00     | -1635.00     | 0.00         | 24           | HxSolutionStatus.OPTIMAL       | -753.00      | -8279.79     | 90.91        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -5964.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1635.00     | -3318.76     | 50.73        | 300          | HxSolutionStatus.FEASIBLE      | -626.00      | -5939.99     | 89.46        | 300          | HxSolutionStatus.FEASIBLE     
13           | -1449.00     | -1449.00     | 0.00         | 5            | HxSolutionStatus.OPTIMAL       | -742.75      | -7391.71     | 89.95        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -4824.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1449.00     | -2845.55     | 49.08        | 300          | HxSolutionStatus.FEASIBLE      | -1134.00     | -5064.00     | 77.61        | 300          | HxSolutionStatus.FEASIBLE     
15           | -1254.00     | -1254.00     | 0.00         | 3            | HxSolutionStatus.OPTIMAL       | -703.76      | -6136.47     | 88.53        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -3804.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1254.00     | -2363.08     | 46.93        | 300          | HxSolutionStatus.FEASIBLE      | -685.00      | -4188.01     | 83.64        | 300          | HxSolutionStatus.FEASIBLE     
17           | -1060.50     | -1060.50     | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -660.00      | -5404.12     | 87.79        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -2904.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1060.50     | -1781.20     | 40.46        | 300          | HxSolutionStatus.FEASIBLE      | -714.00      | -3312.00     | 78.44        | 300          | HxSolutionStatus.FEASIBLE     
20           | -868.00      | -868.00      | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -728.00      | -3426.51     | 78.75        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -2124.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -868.00      | -868.00      | 0.00         | 163          | HxSolutionStatus.OPTIMAL       | -97.00       | -2436.00     | 96.02        | 300          | HxSolutionStatus.FEASIBLE     
24           | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -565.00      | -1771.73     | 68.11        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -1464.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -659.00      | -659.00      | 0.00         | 25           | HxSolutionStatus.OPTIMAL       | -199.00      | -1812.00     | 89.02        | 300          | HxSolutionStatus.FEASIBLE     
30           | -451.00      | -451.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -451.00      | -451.00      | 0.00         | 65           | HxSolutionStatus.OPTIMAL       | -0.00        | -924.00      | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -451.00      | -451.00      | 0.00         | 5            | HxSolutionStatus.OPTIMAL       | -358.00      | -936.00      | 61.75        | 300          | HxSolutionStatus.FEASIBLE     
40           | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -145.00      | -145.00      | 0.00         | 10           | HxSolutionStatus.OPTIMAL       | -0.00        | -504.00      | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -6.00        | -282.00      | 97.87        | 300          | HxSolutionStatus.FEASIBLE     
60           | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -0.00        | -204.00      | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -21.00       | -126.00      | 83.33        | 300          | HxSolutionStatus.FEASIBLE     
120          | 0.00         | -0.00        | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0.00         | -0.00        | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -0.00        | -60.00       | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -0.00        | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0.00         | -0.00        | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
