Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                      | F6_Obj       | F6_Bound     | F6_Gap%      | F6_Time      | F6_Status                     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            | -100.73      | -28000.00    | 99.64        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -3.00        | -28000.00    | 99.99        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
2            | -193.00      | -28000.00    | 99.31        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -17.00       | -28000.00    | 99.94        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
3            | -257.43      | -28000.00    | 99.08        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
4            | -298.00      | -28000.00    | 98.94        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
5            | -319.60      | -28000.00    | 98.86        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -14.00       | -24000.00    | 99.94        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
6            | -235.00      | -28000.00    | 99.16        | 300          | HxSolutionStatus.FEASIBLE      | -25.00       | -13514.23    | 99.82        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -15360.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -143.33      | -4885.76     | 97.07        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -13449.81    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
7            | -344.00      | -27640.00    | 98.76        | 300          | HxSolutionStatus.FEASIBLE      | -57.00       | -11615.71    | 99.51        | 300          | HxSolutionStatus.FEASIBLE      | -14.00       | -11760.00    | 99.88        | 300          | HxSolutionStatus.FEASIBLE      | -145.00      | -3110.59     | 95.34        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27640.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -11692.29    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
8            | -266.00      | -25048.00    | 98.94        | 300          | HxSolutionStatus.FEASIBLE      | -30.00       | -9867.52     | 99.70        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -8640.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -221.32      | -2437.05     | 90.92        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -25048.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -9912.24     | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
9            | -261.43      | -23656.00    | 98.89        | 300          | HxSolutionStatus.FEASIBLE      | -124.00      | -8958.99     | 98.62        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -7260.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -268.00      | -2097.68     | 87.22        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -23656.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -8847.79     | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
