Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            | -12735.99    | -28000.00    | 54.51        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -28.00       | -27979.98    | 99.90        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -28000.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE     
2            | -7697.00     | -25108.00    | 69.34        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -28.00       | -27979.98    | 99.90        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -25108.00    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -7878.00     | -25108.00    | 68.62        | 300          | HxSolutionStatus.FEASIBLE     
3            | -6691.00     | -22084.00    | 69.70        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -22054.02    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -6431.00     | -22084.00    | 70.88        | 300          | HxSolutionStatus.FEASIBLE     
4            | -4754.50     | -20524.00    | 76.83        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -17.00       | -27975.03    | 99.94        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -20493.99    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -4922.00     | -20524.00    | 76.02        | 300          | HxSolutionStatus.FEASIBLE     
5            | -4231.00     | -18456.00    | 77.08        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -14.00       | -27975.03    | 99.95        | 300          | HxSolutionStatus.FEASIBLE      | -4156.00     | -18203.99    | 77.17        | 300          | HxSolutionStatus.FEASIBLE      | -4234.44     | -18203.99    | 76.74        | 300          | HxSolutionStatus.FEASIBLE     
6            | -3453.00     | -14952.00    | 76.91        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -14.00       | -23963.99    | 99.94        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -14700.01    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -3493.00     | -14700.01    | 76.24        | 300          | HxSolutionStatus.FEASIBLE     
7            | -2930.00     | -12324.00    | 76.23        | 300          | HxSolutionStatus.FEASIBLE      | -0.00        | -27979.98    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -3.00        | -17304.03    | 99.98        | 300          | HxSolutionStatus.FEASIBLE      | -2887.50     | -12072.01    | 76.08        | 300          | HxSolutionStatus.FEASIBLE      | -2937.50     | -12072.01    | 75.67        | 300          | HxSolutionStatus.FEASIBLE     
8            | -2587.00     | -2609.67     | 0.87         | 300          | HxSolutionStatus.FEASIBLE      | -933.63      | -12629.24    | 92.61        | 300          | HxSolutionStatus.FEASIBLE      | -3.00        | -13464.01    | 99.98        | 300          | HxSolutionStatus.FEASIBLE      | -2516.50     | -5944.88     | 57.67        | 300          | HxSolutionStatus.FEASIBLE      | -2544.00     | -10320.00    | 75.35        | 300          | HxSolutionStatus.FEASIBLE     
9            | -2218.00     | -2218.00     | 0.00         | 33           | HxSolutionStatus.OPTIMAL       | -1108.00     | -10770.96    | 89.71        | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -10103.99    | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -2177.00     | -4732.46     | 54.00        | 300          | HxSolutionStatus.FEASIBLE      | -2193.00     | -8567.99     | 74.40        | 300          | HxSolutionStatus.FEASIBLE     
10           | -2002.00     | -2022.45     | 1.01         | 300          | HxSolutionStatus.FEASIBLE      | -1086.87     | -9983.37     | 89.11        | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -8603.99     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1998.75     | -4244.75     | 52.91        | 300          | HxSolutionStatus.FEASIBLE      | -2002.00     | -7691.99     | 73.97        | 300          | HxSolutionStatus.FEASIBLE     
12           | -1635.00     | -1635.00     | 0.00         | 24           | HxSolutionStatus.OPTIMAL       | -753.00      | -8279.79     | 90.91        | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -5964.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1635.00     | -3318.76     | 50.73        | 300          | HxSolutionStatus.FEASIBLE      | -1635.00     | -5939.99     | 72.47        | 300          | HxSolutionStatus.FEASIBLE     
13           | -1449.00     | -1449.00     | 0.00         | 5            | HxSolutionStatus.OPTIMAL       | -742.75      | -7391.71     | 89.95        | 300          | HxSolutionStatus.FEASIBLE      | 0.00         | -4824.00     | 100.00       | 300          | HxSolutionStatus.FEASIBLE      | -1449.00     | -2843.71     | 49.05        | 300          | HxSolutionStatus.FEASIBLE      | -1429.00     | -5064.00     | 71.78        | 300          | HxSolutionStatus.FEASIBLE     
